rate,avgbs
0.592018,74.33333333333333
1.81104,65.9047619047619
1.762251,81.90625
0.14552,67.0
2.970974,92.6923076923077
1.638338,64.15789473684211
1.966657,92.875
3.428325,81.15
1.862913,68.31818181818181
0.162331,72.45454545454545
3.144752,91.14285714285714
2.589599,83.34782608695652
0.610286,72.60606060606061
2.418466,73.91111111111111
6.193561,86.05
4.351641,80.7948717948718
1.902842,89.7
2.658182,79.41176470588235
0.315487,73.9090909090909
0.543709,47.54545454545455
1.249263,75.03125
0.366222,59.58974358974359
4.437101,82.2
0.046932,45.833333333333336
0.404754,71.3529411764706
0.275059,78.86440677966101
1.920515,75.5
0.047401,76.5
0.951571,81.9090909090909
4.880734,73.5909090909091
3.076146,84.31818181818181
1.630947,88.27272727272727
1.576324,65.81818181818181
8.451647,90.54545454545455
0.569701,78.5909090909091
1.591562,85.0909090909091
0.676838,73.95454545454545
0.68959,85.31818181818181
1.205201,83.27272727272727
1.254775,75.36363636363636
3.66279,87.0
3.472787,76.77272727272727
0.077602,50.36363636363637
0.833004,67.0909090909091
1.57919,85.36363636363636
0.145009,40.90909090909091
6.765085,79.86363636363636
1.546769,73.9090909090909
4.789283,83.45454545454545
1.50823,74.0
2.849341,73.86363636363636
1.818775,79.31818181818181
1.200787,59.0
0.616642,73.86363636363636
3.372625,84.72727272727273
1.340124,53.36363636363637
2.127225,88.5909090909091
0.337438,75.68181818181819
1.117995,77.72727272727273
0.994776,77.04545454545455
1.342878,82.0909090909091
0.887038,61.5
1.484584,76.9090909090909
2.025953,78.36363636363636
2.274281,91.27272727272727
0.337944,69.68181818181819
3.004361,89.22727272727273
2.714417,78.04545454545455
2.420526,60.27272727272727
0.004791,22.954545454545453
0.230304,79.54545454545455
2.353362,87.5
2.098205,42.86363636363637
0.982512,80.9090909090909
3.005982,95.45454545454545
0.04587,41.45454545454545
1.2534,83.68181818181819
0.485214,78.0909090909091
0.514261,86.0
1.671473,44.18181818181818
0.773358,72.5909090909091
5.598568,81.04545454545455
0.418025,70.86363636363636
3.535564,81.0
0.34807,72.22727272727273
3.965142,70.18181818181819
0.019582,14.954545454545455
1.530264,77.68181818181819
6.194226,74.95454545454545
0.521989,82.95454545454545
0.066112,49.68181818181818
0.709562,82.0
1.668308,62.90909090909091
1.882563,67.68181818181819
1.84507,82.4090909090909
3.004108,87.86363636363636
2.143382,74.68181818181819
0.360022,62.63636363636363
1.834342,58.59090909090909
0.429091,66.4090909090909
1.335815,78.4090909090909
10.380197,90.36363636363636
0.08862,60.22727272727273
5.416162,72.95454545454545
0.519376,89.68181818181819
2.653169,86.54545454545455
1.613424,79.04545454545455
3.673453,55.0
0.08624,66.77272727272727
0.883631,79.5909090909091
0.305835,63.27272727272727
2.115959,77.77272727272727
3.206868,76.72727272727273
0.988473,85.22727272727273
