seed,gtnum,sites,duprate,lossrate,transferrate,pop,indelible_rate,avg_bs,nb_leaves,avg_brlen,height,max_copy,mean_copy,rf_eccetera,rf_iqtree
3007,26,300,2,2,1.0,10,0.868049,79.57142857142857,24,0.08586444543478261,1.22770386,7,6.0,0.19047619047619047,0.19047619047619047
3007,27,300,2,2,1.0,10,2.568011,79.77777777777777,21,0.04497075175,0.6879508899999999,3,1.4,0.1111111111111111,0.2222222222222222
3007,28,300,2,2,1.0,10,4.751445,-1,2,0.010086895,0.01284541,1,1.0,-1,-1
3007,29,300,2,2,1.0,10,0.785494,82.0,35,0.030329812058823537,0.37496419999999997,5,2.1875,0.1875,0.1875
3007,30,300,2,2,1.0,10,2.646,83.0,4,0.03542643499999999,0.11731885,2,1.3333333333333333,0.0,0.0
3007,31,300,2,2,1.0,10,7.261918,72.33333333333333,21,0.040398950749999996,0.46508309999999997,3,1.3125,0.1111111111111111,0.2222222222222222
3007,32,300,2,2,1.0,10,0.614976,72.9,23,0.05374452318181819,0.69983333,3,1.2105263157894737,0.15,0.2
3007,33,300,2,2,1.0,10,1.793725,76.33333333333333,48,0.041765678617021275,0.73979846,5,3.0,0.24444444444444444,0.26666666666666666
3007,34,300,2,2,1.0,10,3.204455,60.0,7,0.011592655833333333,0.04491326,2,1.75,0.0,0.5
3007,35,300,2,2,1.0,10,2.660059,89.32,28,0.051503719629629637,0.84654204,2,1.12,0.08,0.16
